UUID,ESCUELA,MODALIDAD,ANNIO_POSTULACION,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO_ORIGEN,DEPARTAMENTO_ORIGEN,PROVINCIA_ORIGEN,DISTRITO_ORIGEN,UBIGEO_IE,DEPARTAMENTO_IE,PROVINCIA_IE,DISTRITO_IE,EDAD,SEXO,PAGO,IDIOMA,LEE,ESCRIBE,HABLA,TIENE_DISCAPACIDAD,TIPO_COMUNIDAD,COMUNIDAD
eb33a3,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80108,CUSCO,CUSCO,WANCHAQ,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
41b65f,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
60d267,INGENIERÍA AGRONÓMICA TROPICAL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
28acbc,INGENIERÍA DE ALIMENTOS,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80902,CUSCO,LA CONVENCIÓN,ECHARATE,20,FEMENINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
38c971,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
ba802a,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
25fcdc,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,150135,LIMA,LIMA ,SAN MARTIN DE PORRES,150135,CUSCO,LA CONVENCIÓN,SANTA ANA,150135,CUSCO,LA CONVENCIÓN,SANTA ANA,21,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
874165,ECOTURISMO,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
62024a,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,170203,MADRE DE DIOS,MANU ,MADRE DE DIOS,170203,CUSCO,LA CONVENCIÓN,SANTA ANA,170203,CUSCO,LA CONVENCIÓN,SANTA ANA,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
0c1501,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
52b926,ECOTURISMO,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,21,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
10a825,INGENIERÍA DE ALIMENTOS,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
2f12fe,INGENIERÍA AGRONÓMICA TROPICAL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,FEMENINO,250.0,Quechua,SI,NO,NO,NO,NINGUNA,NINGUNA
11c509,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
edef4a,INGENIERÍA AGRONÓMICA TROPICAL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
5c28f5,INGENIERÍA DE ALIMENTOS,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80601,CUSCO,CANCHIS,SICUANI,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
271fa4,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
9cc25b,ECOTURISMO,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
efba69,INGENIERÍA CIVIL,ORDINARIO,2020,50101,AYACUCHO,HUAMANGA,AYACUCHO,80910,CUSCO,LA CONVENCIÓN,PICHARI,50101,AYACUCHO,HUAMANGA,AYACUCHO,22,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
3fffbd,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,25,MASCULINO,250.0,Quechua,SI,NO,NO,NO,NINGUNA,NINGUNA
e10b6e,INGENIERÍA CIVIL,ORDINARIO,2020,80903,CUSCO,LA CONVENCIÓN,HUAYOPATA,81301,CUSCO,URUBAMBA,URUBAMBA,81301,CUSCO,URUBAMBA,URUBAMBA,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
36ff05,ECOTURISMO,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,23,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
2f2f4f,INGENIERÍA CIVIL,ORDINARIO,2020,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80601,CUSCO,CANCHIS,SICUANI,22,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
7a8b0d,INGENIERÍA CIVIL,ORDINARIO,2020,100601,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA,100601,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,21,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
f71d23,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,32,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
e731de,INGENIERÍA CIVIL,ORDINARIO,2020,80910,CUSCO,LA CONVENCIÓN,PICHARI,80910,CUSCO,LA CONVENCIÓN,PICHARI,80910,CUSCO,LA CONVENCIÓN,PICHARI,21,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
1d3489,INGENIERÍA CIVIL,ORDINARIO,2020,80907,CUSCO,LA CONVENCIÓN,KIMBIRI,80907,CUSCO,LA CONVENCIÓN,PICHARI,80907,CUSCO,LA CONVENCIÓN,PICHARI,21,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
30a835,INGENIERÍA CIVIL,ORDINARIO,2020,80101,CUSCO,CUSCO,CUSCO,80401,CUSCO,CALCA,CALCA,80108,CUSCO,CUSCO,WANCHAQ,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
90a0f9,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
5f8670,INGENIERÍA CIVIL,ORDINARIO,2020,80101,CUSCO,CUSCO,CUSCO,80101,CUSCO,CUSCO,CUSCO,80108,CUSCO,CUSCO,WANCHAQ,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
1d8f0a,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,MASCULINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
2b79c6,INGENIERÍA DE ALIMENTOS,ORDINARIO,2020,80106,CUSCO,CUSCO,SANTIAGO,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,150132,LIMA,LIMA ,SAN JUAN DE LURIGANCHO,42,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
d16433,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80101,CUSCO,CUSCO,CUSCO,80106,CUSCO,CUSCO,SANTIAGO,23,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
dd5032,INGENIERÍA DE ALIMENTOS,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,21,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
4a22be,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2020,80106,CUSCO,CUSCO,SANTIAGO,80101,CUSCO,CUSCO,CUSCO,80101,CUSCO,CUSCO,CUSCO,21,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
3de8a5,ECOTURISMO,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
325953,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80108,CUSCO,CUSCO,WANCHAQ,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
2fea49,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
b51661,INGENIERÍA CIVIL,ORDINARIO,2020,81301,CUSCO,URUBAMBA,URUBAMBA,80101,CUSCO,CUSCO,CUSCO,80101,CUSCO,CUSCO,CUSCO,21,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
5171e3,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,37,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
5e4600,INGENIERÍA CIVIL,ORDINARIO,2020,60812,CAJAMARCA,JAÉN,SANTA ROSA,180301,MOQUEGUA,ILO ,ILO,180301,MOQUEGUA,ILO ,ILO,22,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
42f5c9,INGENIERÍA DE ALIMENTOS,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,FEMENINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
42e2fa,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,29,MASCULINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
ae4830,INGENIERÍA DE ALIMENTOS,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,FEMENINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
817bb8,ECOTURISMO,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,21,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
516ee9,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80106,CUSCO,CUSCO,SANTIAGO,38,FEMENINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
b2aec9,ECOTURISMO,ORDINARIO,2020,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,21,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
ee26f1,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80101,CUSCO,CUSCO,CUSCO,80108,CUSCO,CUSCO,WANCHAQ,19,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
67df53,INGENIERÍA CIVIL,ORDINARIO,2020,80906,CUSCO,LA CONVENCIÓN,QUELLOUNO,80906,CUSCO,LA CONVENCIÓN,QUELLOUNO,80101,CUSCO,CUSCO,CUSCO,21,FEMENINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
c02f19,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,26,MASCULINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
672d40,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2020,80101,CUSCO,CUSCO,CUSCO,80101,CUSCO,CUSCO,CUSCO,80106,CUSCO,CUSCO,SANTIAGO,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
749839,INGENIERÍA CIVIL,ORDINARIO,2020,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,23,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
55ce69,INGENIERÍA CIVIL,ORDINARIO,2020,80403,CUSCO,CALCA,LAMAY,80403,CUSCO,CALCA,LAMAY,80401,CUSCO,CALCA,CALCA,21,MASCULINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
489b5a,INGENIERÍA DE ALIMENTOS,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,21,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
f6aebf,INGENIERÍA CIVIL,ORDINARIO,2020,80906,CUSCO,LA CONVENCIÓN,QUELLOUNO,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,22,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
4ebf5e,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,21,MASCULINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
c7d5fc,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
13a326,INGENIERÍA DE ALIMENTOS,ORDINARIO,2020,80401,CUSCO,CALCA,CALCA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80106,CUSCO,CUSCO,SANTIAGO,22,FEMENINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
c3c75d,INGENIERÍA DE ALIMENTOS,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80106,CUSCO,CUSCO,SANTIAGO,25,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
853ddc,INGENIERÍA CIVIL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,23,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
b35915,INGENIERÍA CIVIL,ORDINARIO,2020,80906,CUSCO,LA CONVENCIÓN,QUELLOUNO,80906,CUSCO,LA CONVENCIÓN,QUELLOUNO,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,MASCULINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
853952,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,24,FEMENINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
730aaa,INGENIERÍA CIVIL,ORDINARIO,2020,81304,CUSCO,URUBAMBA,MACHUPICCHU,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80101,CUSCO,CUSCO,CUSCO,23,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
cdbfc7,INGENIERÍA CIVIL,EXTRAORDINARIO-PRIMEROS Y SEGUNDOS PUESTOS,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
ef3550,INGENIERÍA DE ALIMENTOS,EXTRAORDINARIO-PRIMEROS Y SEGUNDOS PUESTOS,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,21,MASCULINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
3aa9d9,ECOTURISMO,EXTRAORDINARIO-COMUNIDADES ANDINO AMAZÓNICOS,2020,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,FEMENINO,50.0,Matsigenka,SI,NO,NO,NO,NINGUNA,NINGUNA
f79d8c,INGENIERÍA CIVIL,EXTRAORDINARIO-VICTIMAS DE TERRORISMO,2020,50401,AYACUCHO,HUANTA,HUANTA,50503,AYACUCHO,LA MAR,AYNA,110101,ICA,ICA ,ICA,25,MASCULINO,0.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
618a16,ECOTURISMO,ORDINARIO,2021,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,18,FEMENINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
ad44f3,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2021,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80105,CUSCO,CUSCO,SAN SEBASTIAN,20,FEMENINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
2c6e5a,INGENIERÍA CIVIL,ORDINARIO,2021,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,MASCULINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
2fe99a,INGENIERÍA CIVIL,ORDINARIO,2021,80106,CUSCO,CUSCO,SANTIAGO,80106,CUSCO,CUSCO,SANTIAGO,81202,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,29,MASCULINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
1bded0,INGENIERÍA CIVIL,ORDINARIO,2021,80101,CUSCO,CUSCO,CUSCO,211101,PUNO,SAN ROMÁN ,JULIACA,211101,PUNO,SAN ROMÁN ,JULIACA,20,FEMENINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
b54726,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2021,80914,CUSCO,LA CONVENCIÓN,MEGANTONI,80914,CUSCO,LA CONVENCIÓN,MEGANTONI,80101,CUSCO,CUSCO,CUSCO,21,MASCULINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
83c0d1,ECOTURISMO,ORDINARIO,2021,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,21,MASCULINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
00d932,ECOTURISMO,ORDINARIO,2021,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,27,FEMENINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
8d299f,INGENIERÍA CIVIL,ORDINARIO,2021,80907,CUSCO,LA CONVENCIÓN,KIMBIRI,80907,CUSCO,LA CONVENCIÓN,PICHARI,80907,CUSCO,LA CONVENCIÓN,PICHARI,20,FEMENINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
a99bbe,INGENIERÍA CIVIL,ORDINARIO,2021,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,18,MASCULINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
cebf7e,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2021,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80914,CUSCO,LA CONVENCIÓN,MEGANTONI,80106,CUSCO,CUSCO,SANTIAGO,19,FEMENINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
51093f,INGENIERÍA CIVIL,ORDINARIO,2021,80401,CUSCO,CALCA,CALCA,80401,CUSCO,CALCA,CALCA,80108,CUSCO,CUSCO,WANCHAQ,21,MASCULINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
71ce30,INGENIERÍA AGRONÓMICA TROPICAL,ORDINARIO,2021,80906,CUSCO,LA CONVENCIÓN,QUELLOUNO,80906,CUSCO,LA CONVENCIÓN,QUELLOUNO,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,27,FEMENINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
e0b1e5,INGENIERÍA DE ALIMENTOS,ORDINARIO,2021,150142,LIMA,LIMA ,VILLA EL SALVADOR,150142,CUSCO,LA CONVENCIÓN,SANTA ANA,150142,CUSCO,LA CONVENCIÓN,SANTA ANA,21,MASCULINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
8bc799,INGENIERÍA CIVIL,ORDINARIO,2021,80101,CUSCO,CUSCO,CUSCO,81201,CUSCO,QUISPICANCHI,URCOS,81201,CUSCO,QUISPICANCHI,URCOS,19,MASCULINO,250.0,Español,SI,SI,SI,NO,NINGUNA,NINGUNA
